event_id,product_id,date,event_type,call_count,sms_count,data_count,direction,roaming,calling_msisdn,called_msisdn
26,36,2022-03-01 17:03:54,sms,0,1,0,incoming,----------,+55-85-85038074,+55-22-22053440
27,36,2022-03-07 03:03:59,sms,0,1,0,outgoing,----------,+55-25-25538717,+55-52-52776338
28,36,2022-03-03 11:56:31,sms,0,1,0,outgoing,----------,+55-88-88356011,+55-71-71581477
29,36,2022-03-01 16:50:59,call,30,0,0,outgoing,----------,+55-30-30438675,+55-87-87222028
30,36,2022-03-05 05:35:07,sms,0,1,0,incoming,----------,+55-82-82786810,+55-00-00481634
31,36,2022-03-01 00:15:20,call,1,0,0,incoming,----------,+55-25-25263553,+55-80-80266027
32,36,2022-03-04 18:33:42,data,0,0,115,incoming,----------,+55-68-68540533,+55-48-48122654
33,36,2022-03-05 22:56:00,call,21,0,0,incoming,----------,+55-30-30204236,+55-66-66823183
34,89,2022-03-04 18:47:22,data,0,0,180,incoming,roaming,+55-81-81051624,+55-00-00630363
35,89,2022-03-07 02:50:21,data,0,0,117,outgoing,----------,+55-11-11112587,+55-65-65133611
36,89,2022-03-07 06:22:00,sms,0,1,0,incoming,----------,+55-81-81446436,+55-78-78117236
37,89,2022-03-03 03:36:26,data,0,0,168,outgoing,----------,+55-30-30433305,+55-77-77443187
38,20,2022-03-06 20:18:22,sms,0,1,0,outgoing,----------,+55-73-73763265,+55-40-40871140
39,704,2022-03-06 04:22:44,call,40,0,0,outgoing,----------,+55-83-83350835,+55-68-68733001
40,704,2022-03-01 14:57:59,data,0,0,111,outgoing,----------,+55-17-17231878,+55-88-88508515
41,704,2022-03-03 06:04:07,call,20,0,0,incoming,----------,+791-15-41156137,+55-73-73741404
42,704,2022-03-01 03:14:39,call,23,0,0,incoming,----------,+55-68-68111456,+55-08-08520055
43,704,2022-03-06 01:08:19,sms,0,1,0,incoming,----------,+55-56-56626560,+55-40-40416557
44,704,2022-03-06 11:54:52,call,31,0,0,outgoing,----------,+55-54-54078628,+55-74-74565052
45,268,2022-03-01 09:15:39,data,0,0,120,incoming,----------,+55-25-25771770,+55-07-07047256
46,268,2022-03-07 11:06:48,data,0,0,183,outgoing,----------,+55-78-78778131,+55-40-40708561
47,268,2022-03-06 12:49:30,sms,0,1,0,outgoing,----------,+55-01-01073511,+55-55-55116684
48,268,2022-03-02 13:25:27,call,19,0,0,incoming,----------,+55-17-17561145,+55-04-04764613
49,268,2022-03-04 01:18:23,data,0,0,127,incoming,----------,+55-61-61234568,+55-53-53687870
50,268,2022-03-03 17:19:26,call,15,0,0,incoming,----------,+55-50-50653625,+55-71-71581477
51,268,2022-03-03 12:19:45,call,43,0,0,outgoing,----------,+55-42-42654533,+55-72-72575485
52,546,2022-03-05 00:32:51,call,37,0,0,outgoing,----------,+55-48-48547473,+55-08-08680413
53,546,2022-03-03 23:56:15,sms,0,1,0,incoming,----------,+55-41-41037534,+55-36-36330231
54,546,2022-03-02 07:55:55,data,0,0,81,outgoing,----------,+55-87-87183007,+899-15-83069108
55,546,2022-03-05 05:26:38,sms,0,1,0,outgoing,----------,+55-40-40708561,+55-38-38414641
56,546,2022-03-06 03:15:12,call,19,0,0,incoming,----------,+55-36-36368775,+55-81-81188285
57,546,2022-03-02 16:16:18,data,0,0,185,incoming,----------,+55-03-03533587,+55-41-41333406
58,282,2022-03-07 22:31:15,data,0,0,15,incoming,----------,+55-17-17112535,+55-41-41037534
59,282,2022-03-01 00:46:08,data,0,0,53,incoming,----------,+55-40-40437762,+55-67-67388362
60,163,2022-03-03 18:55:49,sms,0,1,0,outgoing,----------,+55-06-06111538,+55-61-61076038
61,163,2022-03-03 19:32:56,data,0,0,185,incoming,----------,+55-48-48672150,+55-70-70550580
62,163,2022-03-01 20:13:01,sms,0,1,0,outgoing,----------,+55-05-05176227,+55-08-08165160
63,775,2022-03-02 09:01:19,sms,0,1,0,incoming,----------,+277-48-41993885,+55-06-06272470
64,775,2022-03-07 09:28:10,call,8,0,0,outgoing,----------,+55-48-48283045,+261-53-62286477
65,775,2022-03-01 23:53:09,data,0,0,145,outgoing,----------,+55-84-84282284,+55-60-60388676
66,775,2022-03-03 01:53:29,data,0,0,77,outgoing,----------,+55-07-07028087,+55-81-81188285
67,775,2022-03-03 06:28:58,call,27,0,0,incoming,----------,+55-20-20703428,+55-27-27056260
68,775,2022-03-05 19:26:42,call,17,0,0,outgoing,roaming,+55-33-33751327,+55-65-65572132
69,697,2022-03-07 23:44:51,sms,0,1,0,outgoing,----------,+55-34-34314050,+55-60-60876113
70,697,2022-03-07 17:41:52,sms,0,1,0,incoming,----------,+55-66-66880314,+55-86-86300141
71,697,2022-03-04 17:24:14,data,0,0,184,outgoing,----------,+55-73-73206174,+55-40-40867731
72,697,2022-03-06 18:41:06,sms,0,1,0,outgoing,----------,+55-62-62204235,+55-85-85688847
73,697,2022-03-06 03:44:54,sms,0,1,0,outgoing,----------,+55-76-76406042,+55-52-52543655
74,29,2022-03-05 09:14:48,call,25,0,0,incoming,roaming,+55-18-18421737,+55-71-71581477
75,29,2022-03-01 16:22:24,data,0,0,171,incoming,----------,+55-00-00734743,+55-41-41128823
76,29,2022-03-05 04:08:55,call,26,0,0,incoming,----------,+55-41-41010642,+55-80-80037330
77,29,2022-03-04 20:10:50,call,25,0,0,incoming,----------,+55-50-50682525,+55-10-10765403
78,29,2022-03-02 11:45:44,sms,0,1,0,outgoing,----------,+55-87-87746147,+55-53-53581742
79,29,2022-03-05 01:31:44,sms,0,1,0,outgoing,----------,+55-62-62118121,+700-54-71783489
80,29,2022-03-01 12:22:37,sms,0,1,0,outgoing,----------,+55-33-33487064,+55-86-86158428
81,29,2022-03-04 04:29:07,call,5,0,0,outgoing,----------,+55-10-10246523,+55-50-50735003
82,35,2022-03-02 02:15:05,sms,0,1,0,outgoing,----------,+55-08-08252832,+55-00-00413308
83,35,2022-03-07 12:35:12,call,2,0,0,incoming,----------,+55-16-16165143,+55-03-03533587
84,35,2022-03-06 22:43:55,data,0,0,177,outgoing,----------,+55-87-87572867,+55-44-44860634
85,35,2022-03-03 16:05:09,data,0,0,61,incoming,----------,+55-45-45663748,+55-61-61412360
86,35,2022-03-06 22:06:37,sms,0,1,0,incoming,----------,+55-06-06738514,+55-30-30771441
87,35,2022-03-07 14:03:06,sms,0,1,0,incoming,----------,+55-83-83852524,+55-26-26588248
88,738,2022-03-03 18:57:24,data,0,0,199,outgoing,----------,+55-78-78201551,+55-80-80542757
89,738,2022-03-06 21:43:45,sms,0,1,0,outgoing,roaming,+55-27-27056260,+55-60-60111680
90,738,2022-03-07 14:38:09,sms,0,1,0,incoming,----------,+55-07-07344085,+55-32-32410705
91,738,2022-03-03 09:17:20,call,18,0,0,incoming,----------,+55-40-40437762,+55-64-64330457
92,738,2022-03-02 23:53:30,sms,0,1,0,outgoing,roaming,+55-23-23701136,+55-14-14361430
93,738,2022-03-03 07:49:50,sms,0,1,0,outgoing,----------,+55-17-17185605,+55-26-26644543
94,738,2022-03-07 15:01:37,data,0,0,173,outgoing,----------,+55-27-27262555,+55-74-74413625
95,738,2022-03-03 20:47:51,call,25,0,0,outgoing,----------,+55-22-22742713,+55-45-45663748
96,738,2022-03-03 18:20:30,sms,0,1,0,incoming,----------,+55-14-14361430,+55-61-61385234
97,920,2022-03-02 01:45:29,sms,0,1,0,incoming,----------,+512-81-70192298,+55-14-14108565
98,920,2022-03-04 12:07:10,sms,0,1,0,incoming,----------,+55-44-44137314,+55-03-03477510
99,920,2022-03-01 22:24:05,data,0,0,174,outgoing,----------,+55-15-15718166,+55-64-64687034
100,920,2022-03-02 19:10:14,data,0,0,13,incoming,roaming,+55-50-50318485,+55-72-72728762
101,920,2022-03-02 14:04:52,sms,0,1,0,incoming,----------,+55-83-83114461,+55-08-08252832
102,920,2022-03-04 11:45:51,data,0,0,140,incoming,----------,+55-64-64505868,+55-78-78201551
103,920,2022-03-02 00:52:01,data,0,0,107,incoming,----------,+55-58-58721473,+55-33-33277107
104,920,2022-03-07 06:19:58,data,0,0,197,outgoing,----------,+55-84-84465204,+55-44-44610751
105,6,2022-03-03 10:38:03,call,46,0,0,outgoing,----------,+55-48-48036407,+55-66-66461586
106,6,2022-03-06 07:28:03,call,22,0,0,outgoing,----------,+55-74-74435041,+55-17-17746100
107,6,2022-03-04 20:41:49,data,0,0,144,incoming,----------,+55-85-85074828,+55-18-18165084
108,6,2022-03-07 16:27:07,sms,0,1,0,incoming,----------,+55-13-13770032,+55-48-48367142
109,6,2022-03-04 03:16:08,call,2,0,0,incoming,----------,+55-71-71014421,+55-82-82136371
110,6,2022-03-05 01:26:42,call,34,0,0,outgoing,----------,+55-14-14730356,+55-24-24001285
111,6,2022-03-05 05:29:41,sms,0,1,0,incoming,----------,+55-62-62746082,+55-72-72371105
112,6,2022-03-06 16:22:40,sms,0,1,0,outgoing,----------,+55-66-66652420,+55-33-33566783
113,243,2022-03-03 15:45:07,call,36,0,0,outgoing,----------,+55-84-84783848,+55-17-17627257
114,243,2022-03-07 08:44:18,call,38,0,0,incoming,----------,+55-25-25337753,+55-07-07102016
115,243,2022-03-02 01:28:25,call,2,0,0,incoming,----------,+55-64-64330457,+55-43-43037035
116,273,2022-03-05 17:06:02,call,37,0,0,outgoing,----------,+55-05-05171575,+55-80-80757083
117,273,2022-03-02 15:28:24,sms,0,1,0,incoming,----------,+55-67-67833064,+55-18-18247578
118,273,2022-03-01 15:59:11,data,0,0,71,outgoing,----------,+55-78-78778131,+55-77-77566026
119,273,2022-03-06 21:15:45,sms,0,1,0,outgoing,----------,+55-04-04022730,+55-42-42651332
120,273,2022-03-04 07:05:24,call,42,0,0,outgoing,----------,+55-38-38578565,+55-77-77443187
121,837,2022-03-06 12:27:20,data,0,0,69,incoming,----------,+55-23-23584150,+55-56-56557423
122,837,2022-03-04 04:24:41,sms,0,1,0,outgoing,----------,+55-42-42847311,+55-77-77422111
123,837,2022-03-04 01:27:52,sms,0,1,0,outgoing,----------,+55-86-86761450,+55-13-13641506
124,837,2022-03-03 02:06:07,call,7,0,0,incoming,----------,+55-58-58051174,+55-78-78806657
125,837,2022-03-04 22:25:54,sms,0,1,0,outgoing,----------,+55-48-48105111,+722-83-68200035
126,837,2022-03-07 13:30:20,sms,0,1,0,incoming,----------,+55-42-42520262,+55-21-21225305
127,629,2022-03-06 12:41:41,call,5,0,0,outgoing,----------,+55-64-64163664,+55-57-57358055
128,629,2022-03-04 16:43:10,call,47,0,0,outgoing,----------,+55-33-33143234,+55-17-17381778
129,629,2022-03-07 04:00:09,data,0,0,67,incoming,----------,+55-10-10625311,+55-16-16860288
130,629,2022-03-01 23:05:59,data,0,0,48,outgoing,----------,+55-38-38758450,+55-86-86654753
131,629,2022-03-04 21:06:50,call,23,0,0,incoming,roaming,+55-07-07383515,+55-37-37216088
132,159,2022-03-04 23:40:53,data,0,0,194,outgoing,----------,+55-43-43037035,+55-43-43440256
133,159,2022-03-07 18:30:55,sms,0,1,0,outgoing,----------,+55-11-11811477,+55-85-85280134
134,159,2022-03-04 18:30:21,call,9,0,0,outgoing,----------,+55-00-00734743,+55-73-73715854
135,159,2022-03-07 07:24:55,sms,0,1,0,incoming,----------,+55-16-16668063,+55-88-88202077
136,159,2022-03-03 02:37:59,call,41,0,0,outgoing,----------,+55-01-01258358,+55-86-86362043
137,159,2022-03-07 17:55:28,sms,0,1,0,incoming,----------,+340-58-73337582,+55-83-83350835
138,159,2022-03-02 21:22:34,call,37,0,0,outgoing,----------,+55-32-32723305,+347-73-19715260
139,159,2022-03-02 15:24:25,call,44,0,0,outgoing,roaming,+55-81-81051624,+55-57-57478488
140,582,2022-03-06 06:22:05,call,13,0,0,outgoing,----------,+55-51-51638044,+55-60-60821081
141,582,2022-03-01 23:19:22,data,0,0,90,incoming,----------,+55-14-14083383,+55-04-04753056
142,582,2022-03-02 03:26:52,call,4,0,0,outgoing,----------,+55-80-80517538,+55-66-66731181
143,629,2022-03-01 23:08:20,call,17,0,0,outgoing,----------,+55-86-86362043,+55-24-24533778
144,629,2022-03-04 23:43:52,sms,0,1,0,outgoing,----------,+55-27-27508544,+55-20-20332711
145,801,2022-03-05 19:56:26,data,0,0,67,outgoing,----------,+55-51-51278561,+55-07-07288630
146,801,2022-03-03 07:42:25,call,41,0,0,incoming,----------,+55-13-13803107,+55-08-08520055
147,801,2022-03-04 13:09:08,call,47,0,0,outgoing,----------,+55-17-17285236,+55-84-84470862
148,801,2022-03-01 08:43:58,sms,0,1,0,incoming,----------,+55-74-74748768,+55-87-87746147
149,801,2022-03-02 10:22:10,data,0,0,35,outgoing,----------,+55-26-26742240,+55-60-60821081
150,801,2022-03-07 04:32:34,data,0,0,80,outgoing,----------,+55-30-30771441,+55-74-74503703
151,801,2022-03-04 12:10:40,call,48,0,0,outgoing,----------,+55-74-74263042,+55-84-84440078
152,801,2022-03-03 15:43:07,data,0,0,140,outgoing,----------,+55-05-05352563,+55-15-15305171
153,219,2022-03-02 11:58:09,data,0,0,29,outgoing,----------,+55-47-47682405,+55-10-10511163
154,219,2022-03-04 04:29:20,data,0,0,183,outgoing,roaming,+55-80-80503771,+55-72-72575485
155,219,2022-03-01 14:57:35,sms,0,1,0,incoming,----------,+55-66-66412756,+55-58-58051383
156,219,2022-03-05 18:14:24,data,0,0,122,outgoing,----------,+55-04-04022730,+55-05-05251521
157,219,2022-03-03 19:35:44,call,47,0,0,outgoing,----------,+55-51-51638044,+55-70-70546512
158,219,2022-03-03 07:13:32,sms,0,1,0,outgoing,----------,+55-65-65664483,+55-70-70871867
159,148,2022-03-01 14:41:40,sms,0,1,0,incoming,----------,+55-76-76034886,+55-35-35411528
160,148,2022-03-01 02:13:57,sms,0,1,0,outgoing,----------,+55-12-12731074,+788-74-81085760
161,148,2022-03-01 03:18:00,sms,0,1,0,outgoing,----------,+55-57-57002837,+55-32-32723305
162,148,2022-03-04 06:03:24,call,37,0,0,outgoing,----------,+55-78-78721418,+55-02-02475206
163,148,2022-03-03 16:43:20,call,29,0,0,outgoing,----------,+55-81-81480760,+55-46-46283341
164,148,2022-03-05 15:13:33,data,0,0,38,outgoing,----------,+55-37-37463118,+55-55-55116684
165,148,2022-03-07 23:42:07,sms,0,1,0,outgoing,----------,+55-63-63873141,+55-24-24344642
166,148,2022-03-03 05:45:44,sms,0,1,0,outgoing,----------,+55-03-03670513,+55-07-07102016
167,29,2022-03-01 12:48:10,call,16,0,0,incoming,----------,+858-31-32392160,+55-77-77274758
168,29,2022-03-03 07:24:49,data,0,0,85,incoming,----------,+55-01-01570503,+55-18-18178520
169,660,2022-03-07 19:38:38,sms,0,1,0,outgoing,roaming,+55-22-22742713,+926-39-83701834
170,660,2022-03-04 16:23:43,sms,0,1,0,outgoing,----------,+55-71-71178856,+55-81-81480760
171,660,2022-03-07 07:58:20,sms,0,1,0,incoming,----------,+55-47-47521167,+55-13-13520211
172,660,2022-03-01 17:20:16,sms,0,1,0,incoming,----------,+55-02-02475206,+55-32-32128217
173,660,2022-03-04 11:09:41,sms,0,1,0,incoming,roaming,+817-42-62784742,+55-08-08520055
174,660,2022-03-07 09:10:12,call,47,0,0,outgoing,roaming,+55-37-37802300,+55-25-25532620
175,660,2022-03-04 20:29:55,call,42,0,0,outgoing,----------,+55-14-14083383,+55-25-25538717
176,566,2022-03-03 22:09:00,call,12,0,0,incoming,----------,+55-37-37216088,+55-88-88402185
177,566,2022-03-03 01:54:48,sms,0,1,0,incoming,----------,+55-66-66386273,+55-61-61412360
178,566,2022-03-04 12:38:59,call,28,0,0,outgoing,roaming,+55-60-60452542,+55-58-58847261
179,566,2022-03-06 23:40:24,data,0,0,69,outgoing,----------,+55-26-26644543,+55-56-56021360
180,239,2022-03-05 14:47:19,data,0,0,54,outgoing,----------,+55-64-64228434,+55-12-12860475
181,239,2022-03-05 16:16:04,sms,0,1,0,outgoing,----------,+55-67-67688241,+55-33-33080344
182,699,2022-03-06 02:25:36,call,44,0,0,outgoing,----------,+55-56-56021360,+55-73-73741404
183,685,2022-03-04 17:08:32,call,4,0,0,incoming,----------,+55-18-18040808,+55-56-56314165
184,685,2022-03-05 23:45:21,sms,0,1,0,outgoing,roaming,+55-81-81582785,+55-84-84375040
185,543,2022-03-07 01:12:36,call,35,0,0,incoming,----------,+55-00-00481634,+55-61-61702844
186,651,2022-03-03 07:38:07,sms,0,1,0,outgoing,roaming,+55-68-68445005,+55-38-38854385
187,651,2022-03-04 02:25:55,call,25,0,0,incoming,----------,+55-28-28422764,+55-74-74167678
188,651,2022-03-07 15:33:44,call,40,0,0,outgoing,roaming,+55-67-67688241,+55-64-64505868
189,651,2022-03-03 17:20:33,sms,0,1,0,incoming,----------,+55-73-73715854,+55-11-11811477
190,651,2022-03-02 06:41:23,data,0,0,23,incoming,----------,+55-07-07266735,+55-70-70550580
191,651,2022-03-03 02:50:00,sms,0,1,0,incoming,----------,+55-82-82675837,+55-17-17745046
192,669,2022-03-06 19:33:18,sms,0,1,0,outgoing,----------,+55-12-12504517,+55-10-10564840
193,669,2022-03-04 08:28:41,call,37,0,0,outgoing,----------,+55-66-66151736,+55-56-56626560
194,598,2022-03-01 15:29:26,sms,0,1,0,outgoing,roaming,+55-80-80266027,+55-76-76778438
195,353,2022-03-06 15:21:32,call,38,0,0,outgoing,roaming,+55-22-22380306,+55-88-88505083
196,353,2022-03-07 22:25:48,sms,0,1,0,incoming,----------,+55-41-41580757,+55-23-23501241
197,484,2022-03-05 15:44:34,data,0,0,48,outgoing,----------,+55-58-58276522,+55-84-84148864
198,262,2022-03-07 19:30:05,data,0,0,85,incoming,----------,+55-31-31304607,+55-22-22442640
199,262,2022-03-06 11:16:25,data,0,0,183,outgoing,----------,+55-61-61268674,+55-04-04868667
200,262,2022-03-04 02:59:17,call,43,0,0,outgoing,----------,+55-04-04010708,+55-31-31304607
201,262,2022-03-01 11:31:27,data,0,0,25,outgoing,----------,+55-77-77186580,+55-74-74660702
202,262,2022-03-03 06:31:12,data,0,0,108,outgoing,----------,+55-12-12731074,+55-72-72510225
203,262,2022-03-07 02:06:06,call,41,0,0,incoming,----------,+55-70-70634330,+55-68-68111456
204,262,2022-03-01 08:58:16,call,24,0,0,incoming,roaming,+55-23-23157724,+55-13-13618880
205,135,2022-03-06 04:16:04,data,0,0,7,outgoing,----------,+55-80-80377230,+55-46-46320017
206,135,2022-03-06 08:22:01,data,0,0,154,outgoing,----------,+55-45-45635800,+55-32-32524346
207,135,2022-03-04 22:15:09,sms,0,1,0,incoming,----------,+55-15-15718166,+55-50-50543052
208,123,2022-03-06 08:03:42,sms,0,1,0,outgoing,----------,+55-86-86761881,+55-04-04314372
209,123,2022-03-05 13:31:42,sms,0,1,0,outgoing,----------,+55-04-04612061,+55-45-45160535
210,123,2022-03-03 17:50:34,data,0,0,38,outgoing,----------,+55-06-06776605,+55-13-13134333
211,123,2022-03-05 18:52:57,data,0,0,16,incoming,----------,+55-45-45754455,+55-77-77247634
212,123,2022-03-05 15:10:09,sms,0,1,0,incoming,----------,+55-06-06738514,+55-53-53147472
213,123,2022-03-07 00:52:31,call,40,0,0,outgoing,----------,+55-44-44751381,+55-18-18178520
214,123,2022-03-04 15:09:14,data,0,0,19,outgoing,----------,+55-02-02218027,+55-12-12232333
215,831,2022-03-04 13:38:45,data,0,0,39,outgoing,roaming,+55-71-71014421,+55-37-37731831
216,831,2022-03-06 02:03:07,data,0,0,137,outgoing,----------,+55-53-53535570,+55-40-40473617
217,831,2022-03-07 21:26:06,call,11,0,0,incoming,roaming,+55-74-74167678,+55-05-05570870
218,831,2022-03-06 22:05:55,data,0,0,59,incoming,----------,+55-77-77548316,+55-43-43808552
219,831,2022-03-05 19:39:40,data,0,0,18,incoming,----------,+55-88-88740683,+55-68-68320788
220,831,2022-03-01 13:53:29,call,7,0,0,outgoing,----------,+55-26-26455087,+55-40-40243344
221,248,2022-03-07 21:29:52,call,41,0,0,outgoing,----------,+55-14-14631546,+55-68-68540533
222,248,2022-03-07 04:58:59,call,23,0,0,outgoing,----------,+55-14-14083383,+55-66-66412756
223,248,2022-03-06 06:30:35,call,43,0,0,incoming,----------,+55-37-37864314,+55-75-75068176
224,248,2022-03-05 10:17:44,sms,0,1,0,outgoing,----------,+55-24-24208482,+55-04-04314372
225,248,2022-03-01 12:08:23,call,40,0,0,incoming,----------,+55-18-18650435,+55-44-44502117
226,248,2022-03-04 23:22:58,call,22,0,0,outgoing,----------,+55-41-41546638,+55-87-87346834
227,248,2022-03-06 11:22:05,data,0,0,132,incoming,roaming,+55-36-36760142,+55-82-82181288
228,248,2022-03-07 07:01:37,data,0,0,181,outgoing,----------,+55-10-10564840,+55-60-60111680
229,499,2022-03-04 16:09:02,data,0,0,3,outgoing,----------,+55-57-57244343,+486-48-93315239
230,499,2022-03-05 04:17:39,data,0,0,90,incoming,----------,+55-20-20332711,+55-17-17335872
231,499,2022-03-04 03:41:16,sms,0,1,0,incoming,----------,+55-64-64141432,+55-41-41580757
232,499,2022-03-02 01:16:18,data,0,0,96,outgoing,----------,+55-83-83331534,+55-00-00734743
233,499,2022-03-03 10:41:15,data,0,0,21,outgoing,----------,+55-74-74165854,+55-64-64324623
234,499,2022-03-02 06:56:08,data,0,0,103,outgoing,----------,+55-22-22380306,+55-24-24001285
235,17,2022-03-06 06:29:07,call,41,0,0,outgoing,roaming,+55-52-52167423,+55-54-54140614
236,17,2022-03-01 05:58:05,data,0,0,199,outgoing,----------,+55-06-06786233,+55-24-24827430
237,17,2022-03-01 08:12:48,sms,0,1,0,outgoing,----------,+55-87-87533004,+55-60-60610774
238,17,2022-03-05 13:44:07,call,8,0,0,outgoing,----------,+55-84-84511570,+55-80-80437174
239,17,2022-03-06 09:05:51,call,19,0,0,outgoing,----------,+55-34-34430185,+55-71-71714470
240,307,2022-03-07 11:28:19,call,31,0,0,outgoing,----------,+55-17-17476868,+55-57-57244343
241,307,2022-03-05 17:45:57,data,0,0,8,incoming,----------,+55-57-57383860,+55-82-82671611
242,451,2022-03-01 00:17:45,call,43,0,0,outgoing,----------,+55-57-57383860,+823-43-53869367
243,451,2022-03-07 17:24:33,sms,0,1,0,outgoing,----------,+55-70-70871867,+55-57-57002837
244,451,2022-03-05 17:57:51,sms,0,1,0,outgoing,----------,+55-37-37463118,+70-53-11203920
245,795,2022-03-06 18:14:35,sms,0,1,0,outgoing,----------,+55-30-30433305,+495-84-31991948
246,795,2022-03-07 03:54:34,data,0,0,66,outgoing,----------,+55-15-15312704,+55-88-88202077
247,795,2022-03-07 06:42:59,sms,0,1,0,outgoing,----------,+55-53-53687870,+55-57-57478488
248,795,2022-03-07 07:56:46,call,42,0,0,outgoing,----------,+55-18-18040808,+55-01-01754154
249,795,2022-03-05 13:49:16,call,35,0,0,outgoing,----------,+55-54-54420377,+55-23-23584150
250,795,2022-03-02 12:27:06,data,0,0,105,incoming,----------,+55-06-06738514,+55-08-08680413
251,392,2022-03-06 18:13:22,data,0,0,23,outgoing,----------,+55-26-26062376,+55-23-23157724
252,392,2022-03-05 11:05:11,data,0,0,195,outgoing,----------,+55-46-46422121,+55-56-56565668
253,392,2022-03-01 15:51:28,sms,0,1,0,incoming,----------,+55-46-46531420,+55-71-71714470
254,392,2022-03-05 03:31:33,call,49,0,0,incoming,----------,+55-06-06341715,+55-85-85735735
255,917,2022-03-02 02:16:58,sms,0,1,0,outgoing,roaming,+55-56-56314165,+55-12-12634068
256,917,2022-03-02 19:33:24,sms,0,1,0,incoming,roaming,+55-65-65664483,+55-61-61306836
257,917,2022-03-07 22:50:31,data,0,0,55,incoming,roaming,+55-13-13641506,+55-48-48034016
258,242,2022-03-07 00:51:34,sms,0,1,0,outgoing,----------,+55-38-38737378,+55-02-02251445
259,242,2022-03-02 09:49:48,data,0,0,151,incoming,roaming,+55-53-53358850,+55-77-77566026
260,242,2022-03-04 20:33:07,sms,0,1,0,outgoing,roaming,+55-34-34314050,+55-41-41333406
261,242,2022-03-01 15:17:13,sms,0,1,0,outgoing,----------,+55-34-34224364,+55-84-84070846
262,242,2022-03-05 02:10:21,data,0,0,31,incoming,----------,+55-00-00257441,+55-12-12300222
263,242,2022-03-04 19:51:55,sms,0,1,0,incoming,----------,+55-74-74430560,+55-16-16662330
264,242,2022-03-02 02:31:18,call,31,0,0,outgoing,----------,+55-48-48210502,+55-08-08128642
265,101,2022-03-05 03:43:42,sms,0,1,0,outgoing,----------,+55-36-36766441,+55-80-80114242
266,101,2022-03-05 06:37:18,data,0,0,126,outgoing,----------,+55-55-55007155,+55-24-24316101
267,101,2022-03-07 23:50:19,data,0,0,120,outgoing,----------,+55-55-55016401,+55-53-53687870
268,101,2022-03-04 07:20:33,data,0,0,53,incoming,----------,+55-14-14375372,+55-30-30433305
269,101,2022-03-05 02:47:38,data,0,0,114,outgoing,----------,+55-36-36368775,+55-86-86042001
270,101,2022-03-06 22:47:52,sms,0,1,0,incoming,----------,+55-25-25263553,+55-08-08566664
271,101,2022-03-01 17:22:24,data,0,0,48,incoming,----------,+55-78-78778131,+55-75-75815480
272,664,2022-03-07 02:07:37,data,0,0,46,incoming,----------,+55-46-46780023,+55-00-00734743
